Team,Variable,ADF Statistic,p-value
Leicester City,Return on Equity,-4.194932917376168,0.0006720349642762852
Leicester City,Goal Ratio,-1.553931306989326,0.5066838721140677
Lille OSC,League Standing,-3.137226748001612,0.02391811787824367
Lille OSC,Net Profit Margin,-2.9110476013088284,0.04407831196891522
Lille OSC,Firm Size,-5.203855945685733,8.634106822604845e-06
Lille OSC,Leverage,-2.566431031982907,0.10013564700946359
Lille OSC,Growth,-3.2967159199703153,0.015025912694285843
Lille OSC,Return on Equity,-1.3948408717409944,0.5847469549959741
Lille OSC,Goal Ratio,-4.258453135534505,0.0005238458106294013
Liverpool,League Standing,-2.8284271247461894,0.05432648529964076
Liverpool,Net Profit Margin,-2.9415277909314774,0.04072762770554315
Liverpool,Firm Size,-3.3866287377943416,0.011423230821391222
Liverpool,Leverage,-1.9896955290006653,0.29110944749843853
Liverpool,Growth,-1.8978808525141828,0.3330586803906754
Liverpool,Return on Equity,-2.853892665514899,0.05097837357323046
Liverpool,Goal Ratio,-2.2769374814015784,0.17951399875260682
Manchester City,League Standing,-2.0,0.28657309916843154
Manchester City,Net Profit Margin,-1.702993777988425,0.4295706562559866
Manchester City,Firm Size,-0.7566645312605444,0.8315214052073744
Manchester City,Leverage,-0.7463916740694372,0.8343644439513964
Manchester City,Growth,-2.3073396611610923,0.16961171082505894
Manchester City,Return on Equity,-1.649701433741776,0.4571961405910934
Manchester City,Goal Ratio,-1.388804521232326,0.5876314476651682
Manchester United,League Standing,-2.7692307692307687,0.062805124986818
Manchester United,Net Profit Margin,-0.47760065146417285,0.8963139578921567
Manchester United,Firm Size,-1.482669347267399,0.5420664830423065
Manchester United,Leverage,-0.5396757976419032,0.8840387471555143
Manchester United,Growth,-1.7437983243111774,0.4086991500341798
Manchester United,Return on Equity,1.435617996817709,0.99727009154872
Manchester United,Goal Ratio,-3.080119277888145,0.028059864228954918
Montpellier HSC,League Standing,-1.2060453783110552,0.6709897511547358
Montpellier HSC,Net Profit Margin,-2.00241623991268,0.2855146681678053
Montpellier HSC,Firm Size,-2.2572529970171127,0.18612541418983708
Montpellier HSC,Leverage,-0.8778146880079345,0.7951905450353987
Montpellier HSC,Growth,-5.842199255811297,3.7546385888602586e-07
